County,cluster_number,cluster_type,respondent_sex,respondent_age,education_completed_raw,education_completed_other,female_hh_highest_education,emergency_access_area_type,income_source_farming,income_source_employment,income_source_casual_work,income_source_self_employment,income_source_social_transfer,income_source_rental_income,income_source_investments,income_source_pension_annuity,income_source_family_support,monthly_income_ksh,trusted_financial_provider,insurance_doc_barrier_no_insurance,insurance_doc_barrier_not_in_own_name,loan_barrier_low_income_to_repay,loan_barrier_inadequate_documentation,savings_barrier_distrust_institutions,bank_barrier_distrust_banks,sacco_barrier_lack_of_trust,mobile_money_barrier_untrustworthy_agents,formal_account_barrier_distrust,cost_to_nearest_bank,walk_time_to_nearest_bank,cost_to_nearest_mobile_money_agent,walk_time_to_nearest_mobile_money_agent,cost_to_nearest_bank_agent,walk_time_to_nearest_bank_agent,education,education_femHH,education_anyHH,bank_usage,insurance_usage,mobile_bank_usage,mobile_money_usage,incomegp,mobile_money_access,mobile_money_active,incomegpnew,incomegp_new,financially_included
Trans Nzoia,10226038,Rural,Female,59,Completed technical training after secondary school,,,No,Yes,Yes,No,No,No,No,Yes,No,No,13000,Mobile money provider e.g Safaricom fuliza,,,,,,,,,,Between KSh 101- 200,More than 3 hours,,,Close enough to walk to and fro -  No need to spend,About 10 to 30 minutes,Tertiary,No Female HH head,Tertiary,Currently have,Currently have,Never had,Currently have,KSh 7501-15000,Yes,Yes,"KSh 10,001-20,000",KSh 7501-15000,1
Busia,10240034,Rural,Female,43,Completed technical training after secondary school,,,Yes,No,Yes,No,No,No,No,No,No,No,6000,Mobile money provider e.g Safaricom fuliza,,,,,,No,Yes,,,Between KSh 51- 100,About 1 to 3 hours,,,Less than KSh 50,Between 30 minutes to 1 hour,Tertiary,No Female HH head,Tertiary,Used to have,Never had,Never had,Currently have,KSh 3001 - 7500,Yes,Yes,"KSh 5,001 - 10,000",KSh 3001 - 7500,1
Machakos,10216062,Rural,Male,72,"""Some primary """,,No female household head/spouse,No,Yes,No,No,No,No,No,No,No,No,1000,Mobile money provider e.g Safaricom fuliza,,,,,,No,No,No,,Between KSh 101- 200,About 1 to 3 hours,,,Close enough to walk to and fro -  No need to spend,About 10 to 30 minutes,Primary,No Female HH head,Primary,Never had,Never had,Never had,Never had,KSh 101 - 1500,No,No,"KSh 1 - 1,000",< KSh 3000,0
Kisumu,10242078,Rural,Male,22,"""Primary completed""",,Some primary,No,No,No,Yes,No,No,No,No,No,No,2500,Mobile money provider e.g Safaricom fuliza,,,,,,No,No,,Yes,Less than KSh 50,About 1 to 3 hours,,,Less than KSh 50,About 10 to 30 minutes,Primary,Primary,Primary,Never had,Never had,Never had,Currently have,KSh 1501 - 3000,Yes,Yes,"KSh 1,001 - 3,000",< KSh 3000,1
Nyeri,10219138,Urban,Male,36,"""Primary completed""",,,No,No,No,No,Yes,No,No,No,No,No,"""Don't know(DO NOT READ OUT)""",A Sacco,,,,,,No,No,,,Between KSh 101- 200,Between 30 minutes to 1 hour,,,Less than KSh 50,About 10 to 30 minutes,Primary,No Female HH head,Primary,Never had,Never had,Never had,Currently have,Don't Know,Yes,Yes,Don't Know,Others,1
Murang'a,10221166,Urban,Male,24,"""Secondary completed """,,Secondary completed,Yes,No,Yes,No,No,No,No,No,No,No,6000,A bank,,,No,,,,Yes,,,Close enough to walk  No need to spend,Under 10 minutes,,,Close enough to walk to and fro -  No need to spend,Under 10 minutes,Secondary,Secondary,Secondary,Currently have,Never had,Currently have,Currently have,KSh 3001 - 7500,Yes,Yes,"KSh 5,001 - 10,000",KSh 3001 - 7500,1
Nyeri,10219014,Rural,Male,50,"""Some primary """,,Primary completed,No,No,No,Yes,No,No,No,No,No,No,4000,A bank,,,,,No,No,No,,No,Between KSh 51- 100,About 1 to 3 hours,,,Between KSh 51 - 100,About 1 to 3 hours,Primary,Primary,Primary,Never had,Never had,Never had,Currently have,KSh 3001 - 7500,Yes,Yes,"KSh 3,001 - 5,000",KSh 3001 - 7500,1
Baringo,10230034,Rural,Male,31,"""Primary completed""",,Secondary completed,No,No,No,Yes,No,No,No,No,No,No,7000,Mobile money provider e.g Safaricom fuliza,,,,,,No,No,,No,Between KSh 101- 200,Between 30 minutes to 1 hour,,,Between KSh 101 - 200,More than 3 hours,Primary,Secondary,Primary,Currently have,Currently have,Never had,Currently have,KSh 3001 - 7500,Yes,Yes,"KSh 5,001 - 10,000",KSh 3001 - 7500,1
Migori,10244014,Rural,Male,38,"""Some primary """,,Secondary completed,No,Yes,No,No,No,No,No,No,No,No,3000,Mobile money provider e.g Safaricom fuliza,,,,,,,No,,No,Between KSh 51- 100,Between 30 minutes to 1 hour,,,Between KSh 51 - 100,Between 30 minutes to 1 hour,Primary,Secondary,Primary,Currently have,Never had,Currently have,Currently have,KSh 1501 - 3000,Yes,Yes,"KSh 1,001 - 3,000",< KSh 3000,1
Nyeri,10119053,Rural,Male,31,"""Primary completed""",,,No,No,No,No,No,No,No,No,No,Yes,3000,Mobile money provider e.g Safaricom fuliza,,,,,,No,No,,No,Less than KSh 50,Between 30 minutes to 1 hour,,,Less than KSh 50,Between 30 minutes to 1 hour,Primary,No Female HH head,Primary,Never had,Never had,Never had,Currently have,KSh 1501 - 3000,Yes,Yes,"KSh 1,001 - 3,000",< KSh 3000,1
