original_name,new_name
County,county
ClusterNo,cluster_number
A9,cluster_type
A10i,respondent_sex
A19,respondent_age
A21,education_completed_raw
A21i,education_completed_other
A23,female_hh_highest_education
B1H_I,emergency_access_area_type
B3A__1,income_source_farming
B3A__2,income_source_employment
B3A__3,income_source_casual_work
B3A__4,income_source_self_employment
B3A__5,income_source_social_transfer
B3A__6,income_source_rental_income
B3A__7,income_source_investments
B3A__8,income_source_pension_annuity
B3A__9,income_source_family_support
B3I,monthly_income_ksh
C4,trusted_financial_provider
D1B__14,insurance_doc_barrier_no_insurance
D1C__14,insurance_doc_barrier_not_in_own_name
E3__9,loan_barrier_low_income_to_repay
E3__17,loan_barrier_inadequate_documentation
F2__12,savings_barrier_distrust_institutions
H1B__17,bank_barrier_distrust_banks
J1__10,sacco_barrier_lack_of_trust
K2__11,mobile_money_barrier_untrustworthy_agents
N2__6,formal_account_barrier_distrust
T4,cost_to_nearest_bank
T5,walk_time_to_nearest_bank
T6,cost_to_nearest_mobile_money_agent
T7,walk_time_to_nearest_mobile_money_agent
T8,cost_to_nearest_bank_agent
T9,walk_time_to_nearest_bank_agent
education,respondent_education_level
education_femHH,female_hh_education_level
education_anyHH,any_hh_member_education_level
bank_usage,bank_usage_indicator
insurance_usage,insurance_usage_indicator
mobile_bank_usage,mobile_banking_usage_indicator
mobile_money_usage,mobile_money_usage_indicator
incomegp,income_group
mobile_money_access,mobile_money_access_indicator
mobile_money_active,mobile_money_active_90d_indicator
incomegpnew,income_group_alt_1
incomegp_new,income_group_alt_2
